CustomerID,Age,Salary,City,LoanID,LoanAmount,InterestRate,Tenure,EMI,PaidEMIs,DefaultFlag,CreditScore
180,26,53000,Chennai,L180,650000,11.0,72,11600,28,1,610
124,27,56000,Chennai,L124,430000,11.9,60,9500,23,1,560
148,27,59000,Mumbai,L148,410000,12.7,48,10600,12,1,555
198,28,60000,Kochi,L198,590000,11.3,72,11600,25,1,660
139,26,54000,Pune,L139,510000,11.5,60,11100,27,1,810
161,27,57000,Pune,L161,570000,11.6,72,11400,24,1,820
168,29,65000,Chennai,L168,810000,11.2,96,13400,49,1,850
108,31,72000,Kolkata,L108,420000,13.5,60,9700,28,1,540
136,30,70000,Chennai,L136,390000,12.9,48,10300,17,1,570
119,46,165000,Noida,L119,870000,11.6,96,13900,58,1,620
128,38,101000,Pune,L128,680000,11.1,84,12000,41,1,600
106,27,58000,Coimbatore,L106,250000,12.0,36,8300,12,1,745
113,33,76000,Chennai,L113,750000,10.8,84,12600,48,1,720
155,39,117000,Ahmedabad,L155,530000,11.9,60,11600,20,1,610
103,29,65000,Hyderabad,L103,350000,11.5,48,9200,18,1,720
129,29,64000,Delhi,L129,300000,13.2,36,10100,10,1,775
146,31,74000,Chennai,L146,550000,11.4,72,11200,26,1,840
196,32,76000,Noida,L196,280000,13.3,36,9500,5,1,620
164,31,75000,Kolkata,L164,420000,12.3,48,10400,16,1,670
183,37,97000,Pune,L183,510000,12.2,60,11300,17,1,655
